District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Ahmednagar, MH,1.26,3187,238182,10905,252275,0.2,564397,149740,714137,121499,598568,0,313397,255788,56,89501,241968,237706
Akola, MH,1.64,928,52363,3338,56633,0.16,255109,68506,323615,62856,264125,0,138466,120029,40,36240,118498,103688
Amravati, MH,1.56,1410,84515,4489,90416,0.14,380030,115337,495367,102009,400952,0,207780,179274,46,60029,168299,158849
Aurangabad, MH,1.96,2887,140537,3953,147391,0.09,492614,126834,619448,45525,580097,0,279914,218609,168,108205,222513,168039
Beed, MH,2.2,1933,79059,6834,87834,0.25,311000,81515,392515,53385,341193,0,171419,141904,53,46398,125057,142195
Bhandara, MH,1.62,963,56966,1463,59401,0.13,221296,73437,294733,156870,139993,0,110073,112112,18,29188,91649,101380
Buldana, MH,0.61,498,79214,1471,81188,0.05,354954,96614,451568,96570,363280,0,192930,168647,59,53612,153474,154573
Chandrapur, MH,1.62,1399,82321,2469,86191,0.1,315475,68286,383761,23895,360744,0,170216,146042,35,55630,146567,114016
Dhule, MH,1.14,513,43103,1209,44837,0.05,265027,69469,334496,71162,268556,0,143831,125799,51,50859,122893,95878
Gadchiroli, MH,1.73,494,27173,815,28509,0.07,134213,35038,169251,35328,136365,0,75314,61042,16,35992,61336,39077
Gondia, MH,1.21,484,38869,687,40047,0.04,229193,61908,291101,106614,191344,0,119320,115204,30,37774,119062,77847
Hingoli, MH,1.93,345,15735,1813,17894,0.13,115800,28945,144745,26996,118253,0,63399,52736,17,23601,48848,43691
Jalgaon, MH,1.73,2378,131025,3818,137254,0.08,454716,125819,580535,64674,523205,0,248931,213122,37,81393,200975,179774
Jalna, MH,1.6,934,55375,2093,58403,0.09,275392,58874,334266,57799,281068,0,148433,130593,44,59037,109046,110835
Kolhapur, MH,3.04,3559,94529,18862,116953,0.43,976601,222687,1199288,74664,1131288,0,493434,489899,157,109414,451483,422521
Latur, MH,2.07,1849,84489,3192,89535,0.11,325542,81357,406899,68977,341663,0,180094,148374,47,63203,128590,136896
Mumbai, MH,2.1,14880,671527,18478,707041,0.18,2918693,781836,3700529,279469,3421056,0,1600338,1338128,491,867088,1187961,891978
Nagpur, MH,1.37,6700,472699,10829,490287,0.2,1041852,275594,1317446,89325,1228121,0,556914,485550,173,181987,485880,374720
Nanded, MH,2.52,2258,85340,2071,89676,0.05,355332,87486,442818,115603,327215,0,191342,164210,39,60462,159736,135431
Nandurbar, MH,2.15,836,37304,662,38805,0.03,236729,49694,286423,34144,252279,0,125827,112095,30,57662,119797,61139
Nashik, MH,1.23,4780,376526,7195,388502,0.1,823706,218560,1042266,110316,931950,0,455209,368853,115,144999,388500,290648
Osmanabad, MH,2.33,1355,53879,2899,58205,0.15,231851,48261,280112,54583,225529,0,126336,105605,33,40952,89689,101301
Palghar, MH,1.65,1917,111229,2895,116053,0.05,323197,72167,395364,23397,371967,0,174871,149595,31,76027,146788,102267
Parbhani, MH,1.87,951,46458,3369,50790,0.16,231057,52084,283141,63516,219625,0,123142,107884,31,42110,95610,93319
Pune, MH,1.24,12651,979776,27990,1020478,0.26,2516522,590387,3106909,307660,2799249,0,1362962,1167284,309,664046,1043585,823912
Raigad, MH,1.94,2914,142553,4530,149999,0.15,415343,84043,499386,49004,450382,0,236842,180284,48,109161,182995,124942
Ratnagiri, MH,2.48,1130,38968,5521,45621,0.31,245142,62931,308073,69223,238850,0,133434,116846,15,64372,100536,85843
Sangli, MH,2.34,3000,113525,11580,128110,0.36,628692,120544,749236,56740,692496,0,319961,309005,72,67057,295021,266855
Satara, MH,1.89,3178,148221,16979,168399,0.49,661846,121456,783302,77165,706137,0,341247,321182,64,80225,304690,277463
Sindhudurg, MH,2.47,681,21830,5075,27600,0.53,481100,45671,226771,48297,178474,0,91073,89997,29,25008,76654,79392
Solapur, MH,2.6,4224,150338,7940,162578,0.16,484620,105174,589794,11582,578212,0,269061,217163,64,92935,211082,182231
Thane, MH,1.46,8254,538678,17341,564304,0.16,1448286,372171,1820457,183272,1637185,0,783391,671871,210,335413,665068,455403
Wardha, MH,1.75,1021,54548,2519,58239,0.17,239381,58713,298094,41872,256222,0,123731,116273,17,31484,105788,102803
Washim, MH,1.46,589,37744,1874,40210,0.14,193181,60892,254073,93064,161009,0,103274,91645,20,25165,90338,79580
Yavatmal, MH,1.88,1392,70923,1617,73936,0.05,366755,83914,450669,66885,383784,0,201025,167085,58,66940,174104,127190
